cluster_k98,color,n_images,n_pixels,saturation_mean,saturation_std,value_mean,value_std
20,magenta,346,18241,0.37739,0.21278,0.22442,0.14271
20,orange,507,1249757,0.35157,0.13024,0.69955,0.10502
20,pink,423,56961,0.42129,0.22482,0.26026,0.15524
20,purple,389,51372,0.33325,0.15727,0.24359,0.18539
20,red,506,664111,0.47709,0.18335,0.43688,0.22704
20,white,520,2047946,0.0743,0.05989,0.93637,0.04635
20,yellow,525,1420841,0.41239,0.15981,0.41736,0.18777
21,black,376,94513,0.11257,0.05263,0.14309,0.0395
21,blue,349,1113450,0.56758,0.17678,0.45921,0.18107
21,brown,417,2065618,0.51914,0.18162,0.4026,0.10525
21,cyan,224,369491,0.35413,0.15037,0.62894,0.19342
21,gray,417,9470981,0.08154,0.05179,0.7031,0.12605
21,green,276,234320,0.43303,0.2063,0.37131,0.16263
21,magenta,269,13791,0.32434,0.13694,0.2766,0.17656
21,orange,417,3023470,0.45883,0.18635,0.74901,0.12043
21,pink,335,49428,0.41599,0.16769,0.41872,0.18808
21,purple,276,59946,0.36807,0.13853,0.24958,0.10925
21,red,401,1411623,0.66862,0.18056,0.48218,0.1621
21,white,412,2728806,0.10355,0.05681,0.9093,0.04702
21,yellow,416,2786259,0.35687,0.14958,0.77834,0.16551
22,black,634,422171,0.06063,0.06976,0.07634,0.07694
22,blue,698,1201762,0.5379,0.22641,0.64543,0.26847
22,brown,788,4313460,0.54536,0.17219,0.31306,0.13703
22,cyan,745,5570692,0.47171,0.17201,0.85705,0.20439
22,gray,790,2809125,0.12429,0.05028,0.57462,0.18346
22,green,777,8195063,0.50846,0.16343,0.39796,0.20604
22,magenta,381,137053,0.57017,0.21929,0.3391,0.20028
22,orange,782,2956044,0.46745,0.19254,0.76686,0.12615
22,pink,493,135079,0.45601,0.22017,0.36457,0.26899
22,purple,385,39523,0.39769,0.21146,0.21921,0.17647
22,red,710,1027152,0.56818,0.20707,0.37007,0.28083
22,white,775,3199651,0.09841,0.05804,0.96819,0.04236
22,yellow,778,5466377,0.48726,0.1709,0.50086,0.24565
23,black,253,208549,0.11054,0.06302,0.11021,0.05147
23,blue,259,1501056,0.48239,0.22581,0.54903,0.22312
23,brown,272,1200940,0.61507,0.22594,0.37084,0.12633
23,cyan,242,437051,0.45661,0.20661,0.53249,0.24278
23,gray,267,3368293,0.08988,0.05479,0.60313,0.16642
23,green,256,591214,0.43499,0.20024,0.42794,0.20581
23,magenta,219,27673,0.53296,0.23617,0.2365,0.20428
23,orange,269,1497519,0.49635,0.21993,0.76266,0.13039
23,pink,247,93132,0.54384,0.24228,0.44925,0.32083
23,purple,223,41155,0.50535,0.23095,0.28071,0.20916
23,red,268,1195553,0.67287,0.21486,0.56353,0.23389
23,white,242,1722230,0.05462,0.0551,0.9385,0.04778
23,yellow,265,1293747,0.53325,0.22621,0.66534,0.22989
24,black,3076,33591617,0.15338,0.04216,0.13576,0.03526
