cluster_k98,color,n_images,n_pixels,saturation_mean,saturation_std,value_mean,value_std
27,pink,321,597129,0.37228,0.14575,0.3258,0.24725
27,purple,306,275934,0.3034,0.10186,0.19597,0.17234
27,red,328,2989282,0.47028,0.18401,0.35666,0.221
27,white,321,938826,0.08575,0.05713,0.92705,0.04156
27,yellow,298,1783809,0.42446,0.13861,0.44281,0.21719
28,black,232,807077,0.10672,0.06817,0.07466,0.05542
28,blue,220,1472847,0.42092,0.18276,0.41334,0.28597
28,brown,247,2843159,0.51571,0.18071,0.27349,0.16128
28,cyan,166,195156,0.43393,0.20362,0.37166,0.25147
28,gray,227,1413886,0.11133,0.05378,0.54905,0.19143
28,green,194,732303,0.40242,0.14516,0.31431,0.18836
28,magenta,232,187808,0.3411,0.1391,0.16056,0.14703
28,orange,246,1032972,0.47155,0.19171,0.71356,0.11586
28,pink,243,513303,0.35659,0.14848,0.14087,0.1632
28,purple,221,248917,0.32976,0.16019,0.14512,0.14518
28,red,248,2908694,0.50337,0.19077,0.20053,0.18836
28,white,226,621444,0.07854,0.05983,0.93433,0.04502
28,yellow,244,625762,0.42741,0.17607,0.43115,0.27553
29,black,304,434474,0.08312,0.06693,0.10088,0.06043
29,blue,341,2153492,0.53735,0.21555,0.51362,0.20977
29,brown,385,1138109,0.50166,0.18419,0.34654,0.1381
29,cyan,301,1347960,0.46302,0.18968,0.389,0.19424
29,gray,413,2891395,0.09772,0.05793,0.61095,0.17647
29,green,319,606385,0.44847,0.19693,0.46308,0.19851
29,magenta,261,174499,0.40939,0.1649,0.29915,0.2221
29,orange,402,2893398,0.44417,0.16916,0.76785,0.11327
29,pink,335,426817,0.5007,0.21908,0.52808,0.3088
29,purple,249,230343,0.41838,0.1851,0.36275,0.19
29,red,399,2910027,0.5932,0.20241,0.61446,0.23337
29,white,359,2178339,0.06896,0.05383,0.94068,0.0464
29,yellow,351,1136874,0.48528,0.24045,0.7555,0.23473
30,black,470,498870,0.10937,0.05979,0.11543,0.05367
30,blue,478,2401201,0.39569,0.14016,0.73847,0.2484
30,brown,482,1411874,0.42912,0.15863,0.33404,0.14193
30,cyan,442,363099,0.31494,0.10398,0.57565,0.32483
30,gray,485,4685693,0.08635,0.06193,0.53974,0.16537
30,green,454,4668103,0.49962,0.171,0.36765,0.17999
30,magenta,365,241554,0.37555,0.14679,0.36042,0.18183
30,orange,465,825822,0.39269,0.12881,0.71131,0.11489
30,pink,439,429025,0.42622,0.15415,0.40625,0.20382
30,purple,359,227613,0.34123,0.13619,0.46293,0.2535
30,red,483,2622838,0.53667,0.1645,0.38637,0.20006
30,white,485,1979242,0.0631,0.05975,0.9574,0.04676
30,yellow,466,1531274,0.4387,0.1473,0.45382,0.183
31,black,265,349086,0.09189,0.06758,0.10024,0.06251
31,blue,260,1193855,0.47829,0.19688,0.58313,0.27859
31,brown,272,2273970,0.52775,0.20319,0.32782,0.14056
31,cyan,231,200784,0.45587,0.23576,0.45374,0.23648
31,gray,275,3298054,0.09039,0.06103,0.55037,0.1563
31,green,241,501835,0.42045,0.20058,0.3547,0.19542
31,magenta,210,59771,0.33741,0.16434,0.32378,0.21793
31,orange,270,1774993,0.44721,0.16341,0.73344,0.11977
31,pink,241,123328,0.38461,0.15912,0.29932,0.1971
31,purple,213,67477,0.37049,0.21062,0.34151,0.2317
31,red,273,1826196,0.52815,0.17546,0.47136,0.23813
31,white,257,666266,0.06787,0.06215,0.94431,0.04976
31,yellow,258,376577,0.41804,0.18005,0.42916,0.23007
32,black,124,525841,0.0582,0.05792,0.07332,0.03815
32,blue,123,194481,0.36224,0.16867,0.54437,0.26468
32,brown,133,535126,0.42421,0.15117,0.39035,0.10418
32,cyan,129,267982,0.32213,0.13069,0.60953,0.21003
32,gray,133,1739625,0.11642,0.04872,0.6358,0.17563
32,green,131,562740,0.39728,0.15494,0.41479,0.17018
32,magenta,65,820,0.39209,0.27116,0.13875,0.17496
32,orange,133,456595,0.38761,0.14913,0.7241,0.11676
32,pink,66,2371,0.29591,0.14967,0.27979,0.1487
32,purple,99,2377,0.29519,0.18483,0.26513,0.16149
32,red,122,51944,0.38508,0.17405,0.39249,0.15292
32,white,122,222582,0.10564,0.05842,0.92524,0.0511
32,yellow,132,1248460,0.39343,0.14624,0.5691,0.19662
33,black,329,150552,0.05942,0.06784,0.072,0.07111
33,blue,345,564943,0.52595,0.21865,0.70762,0.2536
33,brown,388,1901771,0.51843,0.15294,0.33906,0.13273
33,cyan,380,3370727,0.44722,0.18576,0.90777,0.14774
33,gray,388,1391096,0.12262,0.05186,0.61248,0.17954
33,green,382,2757335,0.47655,0.16159,0.39937,0.20186
33,magenta,181,10080,0.46259,0.28951,0.16209,0.16615
33,orange,387,1916720,0.46796,0.17686,0.77267,0.12808
33,pink,248,25936,0.44991,0.22398,0.39267,0.32111
33,purple,187,14869,0.35491,0.18944,0.2739,0.16402
33,red,368,492597,0.60254,0.21082,0.43165,0.2745
33,white,380,2010093,0.11426,0.05532,0.9655,0.04325
33,yellow,385,2815617,0.43715,0.15981,0.59461,0.26428
34,black,199,363763,0.116,0.07043,0.11337,0.05424
34,blue,173,846514,0.48008,0.21596,0.32641,0.20689
34,brown,212,782389,0.51964,0.17351,0.33871,0.14361
34,cyan,111,25398,0.31965,0.1838,0.17716,0.0881
34,gray,209,1013508,0.0891,0.0738,0.47647,0.17764
34,green,118,58328,0.33737,0.18788,0.10579,0.09527
34,magenta,186,363176,0.32414,0.12323,0.13985,0.07035
34,orange,208,2762852,0.39384,0.12351,0.79023,0.11513
34,pink,203,295106,0.38831,0.15756,0.14551,0.08811
34,purple,176,401741,0.34698,0.12393,0.18015,0.10939
34,red,211,935378,0.56879,0.26595,0.35432,0.26873
34,white,162,245856,0.06602,0.06449,0.94281,0.04849
34,yellow,173,41927,0.46006,0.19401,0.45074,0.31019
