cluster_k98,version,n_colors,n_chromatic,achromatic_set,count,n_train,n_val,n_test,mean_chroma,std_chroma,mean_saturation,std_saturation,mean_colorfulness
79,brown|gray,2,1,gray,2,2,0,0,11.86,0.05,0.3216,0.0016,32.47
79,gray|pink|red,3,2,gray,2,0,2,0,13.21,2.11,0.2944,0.0309,29.51
79,brown|gray|red,3,2,gray,2,1,1,0,13.515,0.345,0.3046,0.0155,30.01
79,blue|orange|white,3,2,white,2,2,0,0,17.16,0.0,0.2461,0.0,45.37
79,pink|red|white,3,2,white,2,0,0,2,25.59,0.0,0.4836,0.0,31.97
79,magenta|red,2,2,,2,2,0,0,25.23,0.0,0.4306,0.0,41.39
79,blue|green|yellow,3,3,,2,2,0,0,21.225,2.005,0.3465,0.0359,43.88
79,green,1,1,,2,2,0,0,20.345,0.795,0.3222,0.005,38.85
79,blue|gray|orange,3,2,gray,2,0,2,0,13.72,0.98,0.2621,0.0028,36.855
79,red,1,1,,2,0,0,2,20.53,0.0,0.3231,0.0,29.23
80,gray|green,2,1,gray,2,1,0,1,19.875,1.195,0.3049,0.0548,36.755
80,green|orange|yellow,3,3,,2,1,1,0,30.86,4.41,0.4387,0.008,57.305
80,gray|green|red,3,2,gray,2,1,0,1,26.005,1.925,0.372,0.0615,51.935
80,blue|brown|red,3,3,,2,0,2,0,17.02,0.92,0.4375,0.0654,40.115
80,brown|white,2,1,white,2,2,0,0,12.75,0.22,0.3907,0.0118,34.855
80,blue|pink|red,3,3,,2,1,0,1,20.94,4.57,0.4853,0.0911,49.635
80,brown|gray|white,3,1,gray|white,2,2,0,0,14.425,0.025,0.2571,0.0091,44.56
80,blue|cyan|green,3,3,,2,2,0,0,25.98,4.71,0.4097,0.024,62.05
80,black|brown|red,3,2,black,2,2,0,0,14.355,2.225,0.4041,0.0702,42.75
80,blue|gray|yellow,3,2,gray,2,2,0,0,29.525,7.375,0.4199,0.0563,76.06
80,black|orange|red,3,2,black,2,1,1,0,22.035,7.425,0.4352,0.0479,59.175
80,blue|green|white,3,2,white,2,2,0,0,16.49,1.91,0.3334,0.0087,42.635
80,gray|green|orange,3,2,gray,2,2,0,0,16.77,4.77,0.2745,0.0445,44.08
80,blue|gray|pink,3,2,gray,2,1,1,0,15.43,0.12,0.2692,0.0331,35.7
80,black|brown|orange,3,2,black,2,1,0,1,11.935,1.105,0.2729,0.0041,31.48
